MS_system,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFunction,CountDeclMethodDefault,CountInput,CountOutput,CountSemicolon,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
train-ticket-0.0.1,(Unnamed_Package),14.0,1.0,12.0,2.0,2.0,,,,,25.0,10.0,0.0,,27.0,105.0,61.0,115.0,,0.0,0.0,114.0,,,,,,3108.0,185.0,1754.0,779.0,1010.0,1249.0,,1427.0,669.0,910.0,,7.0,,2.0,,,"0,71",193.0,,1.0,,,1209.0,,,,,,,
train-ticket-0.0.1,adminbasic,4.0,0.0,4.0,0.0,1.0,,,,,1.0,1.0,0.0,,1.0,1.0,0.0,2.0,,0.0,0.0,2.0,,,,,,26.0,4.0,22.0,17.0,2.0,0.0,,14.0,12.0,2.0,,1.0,,0.0,,,"0,00",2.0,,0.0,,,11.0,,,,,,,
train-ticket-0.0.1,adminbasic.controller,6.0,0.0,6.0,0.0,1.0,,,,,1.0,0.0,0.0,,1.0,21.0,1.0,21.0,,0.0,0.0,21.0,,,,,,170.0,26.0,140.0,77.0,41.0,4.0,,75.0,34.0,41.0,,1.0,,0.0,,,"0,03",21.0,,0.0,,,53.0,,,,,,,
train-ticket-0.0.1,adminbasic.domin,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,"0,00",0.0,,0.0,,,0.0,,,,,,,
train-ticket-0.0.1,adminbasic.domin.bean,3.0,0.0,3.0,0.0,1.0,,,,,5.0,0.0,0.0,,5.0,60.0,25.0,60.0,,0.0,0.0,60.0,,,,,,348.0,100.0,244.0,103.0,74.0,4.0,,169.0,100.0,69.0,,4.0,,1.0,,,"0,02",63.0,,0.0,,,101.0,,,,,,,
train-ticket-0.0.1,adminbasic.domin.info,3.0,0.0,3.0,0.0,1.0,,,,,8.0,0.0,0.0,,8.0,68.0,31.0,68.0,,0.0,0.0,68.0,,,,,,388.0,133.0,253.0,115.0,62.0,2.0,,177.0,115.0,62.0,,1.0,,0.0,,,"0,01",68.0,,0.0,,,101.0,,,,,,,
train-ticket-0.0.1,adminbasic.domin.reuslt,3.0,0.0,3.0,0.0,1.0,,,,,9.0,0.0,0.0,,9.0,55.0,26.0,55.0,,0.0,0.0,55.0,,,,,,346.0,113.0,231.0,112.0,55.0,2.0,,167.0,112.0,55.0,,1.0,,0.0,,,"0,01",55.0,,0.0,,,103.0,,,,,,,
train-ticket-0.0.1,adminbasic.service,19.0,0.0,17.0,3.0,2.0,,,,,5.0,0.0,0.0,,2.0,40.0,2.0,40.0,,0.0,0.0,20.0,,,,,,488.0,59.0,389.0,170.0,254.0,60.0,,235.0,128.0,152.0,,2.0,,1.0,,,"0,15",40.0,,20.0,,,194.0,,,,,,,
train-ticket-0.0.1,adminorder,4.0,0.0,4.0,0.0,1.0,,,,,1.0,1.0,0.0,,1.0,1.0,0.0,2.0,,0.0,0.0,2.0,,,,,,25.0,3.0,22.0,17.0,2.0,0.0,,14.0,12.0,2.0,,1.0,,0.0,,,"0,00",2.0,,0.0,,,11.0,,,,,,,
train-ticket-0.0.1,adminorder.controller,4.0,0.0,4.0,0.0,1.0,,,,,1.0,0.0,0.0,,1.0,5.0,1.0,5.0,,0.0,0.0,5.0,,,,,,47.0,9.0,38.0,27.0,5.0,0.0,,24.0,19.0,5.0,,1.0,,0.0,,,"0,00",5.0,,0.0,,,18.0,,,,,,,
