source,target,version,weight
ts-contacts-service,ts-sso-service,v0.0.1,1
ts-admin-user-service,ts-sso-service,v0.0.1,1
ts-login-service,ts-verification-code-service,v0.0.1,1
ts-login-service,ts-sso-service,v0.0.1,1
ts-cancel-service,ts-sso-service,v0.0.1,1
ts-cancel-service,ts-notification-service,v0.0.1,1
ts-cancel-service,ts-order-other-service,v0.0.1,1
ts-cancel-service,ts-inside-payment-service,v0.0.1,1
ts-cancel-service,ts-order-service,v0.0.1,1
ts-assurance-service,ts-sso-service,v0.0.1,1
ts-order-other-service,ts-sso-service,v0.0.1,1
ts-order-other-service,ts-station-service,v0.0.1,1
ts-preserve-service,ts-ticketinfo-service,v0.0.1,1
ts-preserve-service,ts-seat-service,v0.0.1,1
ts-preserve-service,ts-notification-service,v0.0.1,1
ts-preserve-service,ts-sso-service,v0.0.1,1
ts-preserve-service,ts-assurance-service,v0.0.1,1
ts-preserve-service,ts-station-service,v0.0.1,1
ts-preserve-service,ts-security-service,v0.0.1,1
ts-preserve-service,ts-travel-service,v0.0.1,1
ts-preserve-service,ts-contacts-service,v0.0.1,1
ts-preserve-service,ts-order-service,v0.0.1,1
ts-preserve-service,ts-food-service,v0.0.1,1
ts-preserve-service,ts-consign-service,v0.0.1,1
ts-security-service,ts-order-service,v0.0.1,1
ts-security-service,ts-order-other-service,v0.0.1,1
ts-consign-service,ts-consign-price-service,v0.0.1,1
ts-order-service,ts-sso-service,v0.0.1,1
ts-order-service,ts-station-service,v0.0.1,1
ts-food-service,ts-food-map-service,v0.0.1,1
ts-food-service,ts-travel-service,v0.0.1,1
ts-food-service,ts-station-service,v0.0.1,1
ts-rebook-service,ts-seat-service,v0.0.1,1
ts-rebook-service,ts-sso-service,v0.0.1,1
ts-rebook-service,ts-travel-service,v0.0.1,1
ts-rebook-service,ts-travel2-service,v0.0.1,1
ts-rebook-service,ts-order-service,v0.0.1,1
ts-rebook-service,ts-order-other-service,v0.0.1,1
ts-rebook-service,ts-station-service,v0.0.1,1
ts-rebook-service,ts-inside-payment-service,v0.0.1,1
ts-register-service,ts-verification-code-service,v0.0.1,1
ts-register-service,ts-sso-service,v0.0.1,1
ts-register-service,ts-inside-payment-service,v0.0.1,1
ts-admin-basic-info-service,ts-contacts-service,v0.0.1,1
ts-admin-basic-info-service,ts-station-service,v0.0.1,1
ts-admin-basic-info-service,ts-train-service,v0.0.1,1
ts-admin-basic-info-service,ts-config-service,v0.0.1,1
ts-admin-basic-info-service,ts-price-service,v0.0.1,1
ts-basic-service,ts-station-service,v0.0.1,1
ts-basic-service,ts-train-service,v0.0.1,1
ts-basic-service,ts-route-service,v0.0.1,1
ts-basic-service,ts-price-service,v0.0.1,1
ts-preserve-other-service,ts-ticketinfo-service,v0.0.1,1
ts-preserve-other-service,ts-seat-service,v0.0.1,1
ts-preserve-other-service,ts-notification-service,v0.0.1,1
ts-preserve-other-service,ts-sso-service,v0.0.1,1
ts-preserve-other-service,ts-assurance-service,v0.0.1,1
ts-preserve-other-service,ts-station-service,v0.0.1,1
ts-preserve-other-service,ts-security-service,v0.0.1,1
ts-preserve-other-service,ts-travel2-service,v0.0.1,1
ts-preserve-other-service,ts-contacts-service,v0.0.1,1
ts-preserve-other-service,ts-order-other-service,v0.0.1,1
ts-preserve-other-service,ts-food-service,v0.0.1,1
ts-preserve-other-service,ts-consign-service,v0.0.1,1
ts-route-plan-service,ts-route-service,v0.0.1,1
ts-route-plan-service,ts-travel-service,v0.0.1,1
ts-route-plan-service,ts-travel2-service,v0.0.1,1
ts-route-plan-service,ts-station-service,v0.0.1,1
